Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Norway,Eliteserien,2024,11/05/2024,17:00,Molde,Rosenborg,2,2,D,1.54,4.71,5.72,1.54,4.84,6.5,1.5,4.56,5.65,,,
Norway,Eliteserien,2024,12/05/2024,13:30,Kristiansund,Bodo/Glimt,2,4,A,6.23,5.34,1.45,6.7,5.43,1.48,6.03,4.93,1.44,,,
Norway,Eliteserien,2024,12/05/2024,16:00,HamKam,Haugesund,2,2,D,2.03,3.59,3.8,2.09,3.7,3.9,1.97,3.5,3.68,,,
Norway,Eliteserien,2024,12/05/2024,16:00,KFUM Oslo,Fredrikstad,1,4,A,2.99,3.01,2.73,2.99,3.35,2.76,2.85,3.04,2.59,,,
Norway,Eliteserien,2024,12/05/2024,16:00,Sandefjord,Sarpsborg 08,4,1,H,2.24,3.66,3.19,2.31,3.9,3.28,2.2,3.54,3.06,,,
Norway,Eliteserien,2024,12/05/2024,16:00,Stromsgodset,Viking,0,1,A,2.37,3.87,2.83,2.73,3.87,2.97,2.33,3.66,2.77,,,
Norway,Eliteserien,2024,12/05/2024,16:00,Tromso,Odd,4,0,H,1.78,3.95,4.5,1.83,4.18,4.5,1.76,3.82,4.29,,,
Norway,Eliteserien,2024,12/05/2024,18:15,Lillestrom,Brann,0,2,A,3.35,3.85,2.1,3.45,3.85,2.13,3.29,3.66,2.05,,,
Norway,Eliteserien,2024,16/05/2024,17:00,Bodo/Glimt,Tromso,4,0,H,1.34,5.62,8.83,1.37,5.66,9,1.33,5.25,8.28,,,
Norway,Eliteserien,2024,16/05/2024,17:00,Brann,Sandefjord,2,1,H,1.27,6.27,9.97,1.3,6.39,11,1.27,5.86,9.47,,,
Norway,Eliteserien,2024,16/05/2024,17:00,Fredrikstad,Stromsgodset,4,1,H,2.28,3.3,3.42,2.29,3.4,3.42,2.21,3.24,3.28,,,
Norway,Eliteserien,2024,16/05/2024,17:00,Haugesund,Kristiansund,1,0,H,1.88,3.85,4.09,1.95,3.85,4.44,1.86,3.64,3.96,,,
Norway,Eliteserien,2024,16/05/2024,17:00,Odd,Molde,0,4,A,4.22,4.36,1.75,5.07,4.37,1.77,4.33,4.14,1.69,,,
Norway,Eliteserien,2024,16/05/2024,17:00,Rosenborg,KFUM Oslo,1,3,A,1.69,3.99,5.11,1.72,4.15,5.25,1.66,3.85,4.89,,,
Norway,Eliteserien,2024,16/05/2024,17:00,Sarpsborg 08,HamKam,1,7,A,1.89,3.94,3.96,1.91,4.01,4.1,1.83,3.86,3.83,,,
Norway,Eliteserien,2024,16/05/2024,17:00,Viking,Lillestrom,1,4,A,1.86,4.27,3.79,1.91,4.27,4,1.82,4.06,3.69,,,
Norway,Eliteserien,2024,20/05/2024,16:00,HamKam,Bodo/Glimt,1,0,H,5.41,4.47,1.59,5.41,4.5,1.66,4.89,4.26,1.59,,,
Norway,Eliteserien,2024,20/05/2024,16:00,KFUM Oslo,Odd,0,0,D,1.74,4.02,4.73,1.75,4.02,5.02,1.71,3.8,4.61,,,
Norway,Eliteserien,2024,20/05/2024,16:00,Kristiansund,Brann,2,2,D,7.15,5.12,1.42,7.5,5.12,1.48,6.83,4.72,1.41,,,
Norway,Eliteserien,2024,20/05/2024,16:00,Lillestrom,Fredrikstad,0,3,A,1.99,3.62,3.9,2.12,3.62,4,2,3.45,3.64,,,
Norway,Eliteserien,2024,20/05/2024,16:00,Molde,Sarpsborg 08,2,4,A,1.41,5.48,6.88,1.42,5.68,7.5,1.38,5.23,6.63,,,
Norway,Eliteserien,2024,20/05/2024,16:00,Sandefjord,Viking,0,3,A,2.82,3.98,2.34,2.98,3.98,2.42,2.74,3.73,2.31,,,
Norway,Eliteserien,2024,20/05/2024,16:00,Stromsgodset,Haugesund,2,0,H,1.97,3.71,3.88,2.02,3.75,3.94,1.93,3.6,3.7,,,
Norway,Eliteserien,2024,20/05/2024,18:15,Tromso,Rosenborg,3,2,H,2.02,3.7,3.7,2.08,3.75,3.73,1.98,3.59,3.56,,,
Norway,Eliteserien,2024,24/05/2024,18:00,Bodo/Glimt,KFUM Oslo,2,2,D,1.3,6.19,9.09,1.33,6.25,11,1.28,5.84,8.96,,,
Norway,Eliteserien,2024,25/05/2024,17:00,Fredrikstad,Tromso,0,0,D,1.93,3.45,4.36,1.97,3.7,4.36,1.9,3.44,4,,,
Norway,Eliteserien,2024,26/05/2024,16:00,Haugesund,Sandefjord,2,1,H,2.21,3.58,3.3,2.21,3.7,3.3,2.15,3.5,3.17,,,
Norway,Eliteserien,2024,26/05/2024,16:00,Odd,Lillestrom,2,1,H,2.78,3.71,2.47,2.8,3.75,2.52,2.69,3.57,2.41,,,
Norway,Eliteserien,2024,26/05/2024,16:00,Rosenborg,Kristiansund,2,1,H,1.61,4.61,5.02,1.65,4.62,5.1,1.58,4.35,4.9,,,
Norway,Eliteserien,2024,26/05/2024,16:00,Sarpsborg 08,Stromsgodset,1,3,A,2.22,3.92,3.04,2.27,4.01,3.05,2.17,3.75,2.93,,,
Norway,Eliteserien,2024,26/05/2024,16:00,Viking,HamKam,3,0,H,1.6,4.83,4.92,1.6,4.9,5.4,1.55,4.58,4.91,,,
Norway,Eliteserien,2024,26/05/2024,18:15,Brann,Molde,1,3,A,1.79,4.18,4.21,1.8,4.2,4.33,1.74,4.03,4.08,,,
Norway,Eliteserien,2024,29/05/2024,18:00,Bodo/Glimt,Sandefjord,1,1,D,1.27,6.73,9.3,1.31,6.9,10,1.25,6.23,9.41,,,
Norway,Eliteserien,2024,29/05/2024,18:00,Brann,Kristiansund,2,1,H,1.17,8.66,14.73,1.2,9.92,17,1.16,7.87,13.12,,,
Norway,Eliteserien,2024,29/05/2024,18:00,Tromso,Fredrikstad,3,0,H,2.33,3.18,3.44,2.4,3.3,3.44,2.29,3.12,3.23,,,
Norway,Eliteserien,2024,01/06/2024,17:00,HamKam,Brann,1,2,A,5.2,4.46,1.61,5.53,4.5,1.62,4.97,4.24,1.58,,,
Norway,Eliteserien,2024,02/06/2024,13:30,Molde,Viking,2,2,D,1.77,4.3,4.21,1.8,4.33,4.57,1.73,4.11,4.06,,,
Norway,Eliteserien,2024,02/06/2024,16:00,Haugesund,Bodo/Glimt,0,1,A,4.99,4.21,1.67,4.99,4.33,1.7,4.71,4.09,1.64,,,
Norway,Eliteserien,2024,02/06/2024,16:00,KFUM Oslo,Sandefjord,3,3,D,2.31,3.49,3.19,2.35,3.51,3.34,2.24,3.34,3.12,,,
Norway,Eliteserien,2024,02/06/2024,16:00,Kristiansund,Sarpsborg 08,3,1,H,2.6,3.9,2.55,2.65,3.95,2.65,2.52,3.67,2.52,,,
Norway,Eliteserien,2024,02/06/2024,16:00,Stromsgodset,Odd,1,1,D,1.56,4.65,5.44,1.59,4.84,5.5,1.54,4.46,5.07,,,
Norway,Eliteserien,2024,02/06/2024,16:00,Tromso,Lillestrom,1,2,A,2.05,3.66,3.65,2.15,3.75,3.65,2.04,3.56,3.36,,,
Norway,Eliteserien,2024,02/06/2024,18:15,Rosenborg,Fredrikstad,1,1,D,2.35,3.31,3.27,2.41,3.4,3.28,2.27,3.27,3.13,,,
Norway,Eliteserien,2024,27/06/2024,18:00,Sandefjord,HamKam,1,2,A,2.09,3.7,3.51,2.15,3.86,3.51,2.07,3.67,3.26,,,
Norway,Eliteserien,2024,27/06/2024,20:15,Lillestrom,KFUM Oslo,2,1,H,2.07,3.78,3.48,2.16,3.8,3.55,2.06,3.62,3.3,,,
